id,title,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,genres
254,King Kong,207000000,562363449,188,10.4927,6.895,8579,2005-12-12,"Adventure, Drama, Action"
196867,Annie,65000000,136853506,118,6.3487,6.243,1364,2014-12-18,"Comedy, Drama, Family"
8452,The 6th Day,82000000,96085477,123,5.7474,6.0,2298,2000-11-17,"Action, Science Fiction, Thriller"
991494,The SpongeBob Movie: Search for SquarePants,64000000,163197450,88,21.0543,6.807,321,2025-12-16,"Adventure, Animation, Comedy, Family, Fantasy"
268,Batman,35000000,411348924,126,9.5403,7.2,8657,1989-06-21,"Fantasy, Action, Crime"
1122573,In the Grey,70000000,27225194,97,54.1602,7.539,546,2026-05-13,"Action, Thriller"
272,Batman Begins,150000000,374218673,140,23.0255,7.728,22809,2005-06-10,"Drama, Crime, Action"
1368337,The Odyssey,250000000,303975510,173,1036.952,7.929,1076,2026-07-15,"Adventure, Action, Fantasy"
279,Amadeus,18000000,90007557,160,6.603,8.024,4811,1984-09-19,"Drama, History, Music"
280,Terminator 2: Judgment Day,102000000,517778573,137,20.8345,8.158,14505,1991-07-03,"Action, Thriller, Science Fiction"
284,The Apartment,3000000,25000000,126,6.3871,8.187,2702,1960-06-21,"Comedy, Drama, Romance"
285,Pirates of the Caribbean: At World's End,300000000,961691209,169,17.4035,7.278,15620,2007-05-19,"Adventure, Fantasy, Action"
289,Casablanca,878000,10462500,102,9.8173,8.137,6112,1943-01-15,"Drama, Romance"
49444,Kung Fu Panda 2,150000000,665692281,91,12.6967,7.075,7992,2011-05-25,"Animation, Family, Comedy, Action"
296,Terminator 3: Rise of the Machines,200000000,435000000,109,9.5166,6.2,7341,2003-07-02,"Action, Thriller, Science Fiction"
298,Ocean's Thirteen,85000000,311312624,122,6.7243,6.726,6961,2007-06-05,"Crime, Thriller"
467244,The Zone of Interest,15000000,52631884,105,10.5104,7.011,2662,2023-12-15,"Drama, History, War"
310,Bruce Almighty,80000000,484592874,101,9.3709,6.728,11571,2003-05-23,"Fantasy, Comedy"
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,20000000,733030221,156,100.5174,7.746,907,2025-07-18,"Animation, Action, Fantasy"
311,Once Upon a Time in America,30000000,5500000,229,14.9696,8.377,6111,1984-05-23,"Drama, Crime"
319,True Romance,12500000,12600000,121,7.5701,7.541,3109,1993-09-09,"Action, Crime, Romance"
320,Insomnia,46000000,113714830,118,9.5799,6.956,5379,2002-05-24,"Thriller, Crime, Drama"
322,Mystic River,25000000,156800000,138,8.0967,7.747,7542,2003-10-08,"Thriller, Drama, Mystery"
326,Snakes on a Plane,33000000,62022014,105,7.7436,5.487,2017,2006-08-17,"Action, Thriller, Adventure, Crime, Horror"
329,Jurassic Park,63000000,920100000,127,12.5529,7.975,18066,1993-06-11,"Adventure, Science Fiction"
335,Once Upon a Time in the West,5000000,5380118,166,12.1551,8.272,4959,1968-12-21,"Drama, Western"
345,Eyes Wide Shut,65000000,162100000,159,14.2395,7.5,7133,1999-07-16,"Drama, Thriller, Mystery"
346,Seven Samurai,2000000,105000000,207,12.3464,8.45,4284,1954-04-26,"Action, Drama"
1212763,Evil Dead Burn,20000000,857423,110,64.7557,6.8,186,2026-07-07,"Horror, Thriller"
350,The Devil Wears Prada,35000000,326588371,109,38.9067,7.441,13934,2006-06-29,"Drama, Comedy"
172385,Rio 2,103000000,498781117,101,8.6334,6.519,3798,2014-03-19,"Animation, Adventure, Comedy, Family"
262504,Allegiant,110000000,179246868,120,7.6376,6.101,7028,2016-03-09,"Adventure, Science Fiction, Action, Mystery"
364,Batman Returns,80000000,280000000,126,8.9267,6.9,7159,1992-06-19,"Action, Fantasy"
49517,Tinker Tailor Soldier Spy,30000000,81515369,127,6.7348,6.619,2953,2011-09-16,"Drama, Thriller, Mystery"
49519,The Croods,135000000,587204668,99,10.5523,6.941,7605,2013-03-15,"Animation, Adventure, Family, Comedy"
254320,The Lobster,4000000,15700000,119,6.2279,7.023,6948,2015-10-15,"Comedy, Drama, Romance"
49521,Man of Steel,225000000,668045518,143,15.9949,6.653,16354,2013-06-12,"Action, Adventure, Science Fiction"
377,A Nightmare on Elm Street,1800000,57004513,91,14.165,7.349,5809,1984-11-09,Horror
49529,John Carter,263700000,284100000,132,10.0262,6.376,6177,2012-03-07,"Action, Adventure, Science Fiction"
380,Rain Man,25000000,354825435,134,7.618,7.752,7169,1988-12-12,Drama
582014,Promising Young Woman,10000000,20379604,114,6.9322,7.382,3757,2020-12-13,"Thriller, Crime, Drama"
387,Das Boot,14000000,85000000,150,10.2085,8.082,2554,1981-09-17,"Drama, History, War"
1302916,Heart Eyes,18000000,33129099,97,7.2861,6.268,559,2025-02-06,"Horror, Romance, Comedy"
389,12 Angry Men,397751,4360000,97,22.53,8.565,10141,1957-04-10,Drama
391,A Fistful of Dollars,200000,14500000,99,7.0141,7.824,4769,1964-09-12,Western
388,Inside Man,45000000,186003591,129,6.7584,7.409,6429,2006-03-17,"Crime, Drama, Thriller"
8584,Shanghai Noon,55000000,99274467,110,6.019,6.419,2803,2000-05-26,"Adventure, Comedy, Western"
8587,The Lion King,45000000,763455561,89,25.5207,8.254,19865,1994-06-15,"Animation, Family, Drama"
395,AVP: Alien vs. Predator,70000000,177427090,101,7.9056,5.952,5025,2004-08-12,"Adventure, Science Fiction, Action, Horror"
278924,Mechanic: Resurrection,40000000,125729635,99,7.2361,6.065,3700,2016-08-25,"Action, Crime, Thriller, Adventure"
278927,The Jungle Book,175000000,966550600,106,11.0195,6.876,8550,2016-04-07,"Adventure, Family, Fantasy"
459151,The Boss Baby: Family Business,82000000,146745280,107,10.5401,7.328,2705,2021-07-01,"Animation, Comedy, Adventure, Family"
402,Basic Instinct,49000000,352927224,128,14.489,6.946,4434,1992-03-20,"Thriller, Mystery"
8592,Dick Tracy,47000000,103738726,105,6.7628,6.162,1058,1990-06-15,"Adventure, Comedy, Crime"
400,Things to Do in Denver When You're Dead,8000000,529766,116,5.9249,6.453,436,1995-12-01,"Drama, Crime"
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,143,19.9533,7.139,11612,2005-12-07,"Adventure, Family, Fantasy"
414,Batman Forever,100000000,336529144,121,7.8313,5.459,5642,1995-06-16,"Action, Crime, Fantasy"
415,Batman & Robin,125000000,238207122,125,6.9601,4.396,5462,1997-06-20,"Action, Science Fiction, Adventure"
475557,Joker,55000000,1078958629,122,25.1436,8.122,27938,2019-10-01,"Crime, Thriller, Drama"
423,The Pianist,35000000,120098945,150,16.7979,8.372,10249,2002-09-17,"Drama, War"
426,Vertigo,2479000,7808900,128,8.3268,8.135,6394,1958-05-09,"Mystery, Romance, Thriller"
8619,Master and Commander: The Far Side of the World,150000000,211623421,138,6.8585,7.2,3574,2003-11-14,"Adventure, Drama, War"
429,"The Good, the Bad and the Ugly",1200000,38900000,161,17.331,8.466,9763,1966-12-23,Western
433,Mary Poppins,4650000,103100000,139,10.7673,7.546,5039,1964-12-17,"Comedy, Family, Fantasy"
435,The Day After Tomorrow,125000000,552639571,124,8.5665,6.56,8966,2004-05-26,"Science Fiction, Thriller, Adventure"
1212855,Fight or Flight,40000000,2482071,102,5.5167,6.252,395,2025-04-03,"Action, Comedy, Thriller"
440,Aliens vs Predator: Requiem,40000000,130290885,94,10.6679,5.167,3368,2007-12-25,"Action, Science Fiction, Thriller, Horror"
8643,The Exorcism of Emily Rose,19000000,145166804,122,5.5383,6.604,3085,2005-09-09,"Crime, Drama, Horror, Thriller"
453,A Beautiful Mind,58000000,316791257,135,9.4845,7.854,11181,2001-12-14,"Drama, Romance"
8645,The Happening,60000000,163403799,90,6.1919,5.405,4006,2008-06-11,"Thriller, Science Fiction"
57800,Ice Age: Continental Drift,95000000,877244782,88,17.906,6.392,8175,2012-06-27,"Animation, Comedy, Adventure, Family"
786892,Furiosa: A Mad Max Saga,168000000,174287546,149,17.102,7.448,5003,2024-05-22,"Action, Science Fiction, Adventure"
